SUA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
1010,21,249,3,2731,22,6,7,11,8,31,11,21,16,136,973,1251,13,8,6,14,6,8,3,14,10,271,211,577,5125,1649,387,3937,1140,3099,645,2625,767,16350,1413,37135
1011,8,56,0,443,5,3,0,8,4,7,0,0,3,28,262,322,5,0,9,3,0,0,0,5,0,76,50,159,1219,506,52,1128,101,595,75,708,112,3850,363,8711
1012,0,17,0,264,3,0,0,8,3,0,0,4,3,9,165,194,3,4,0,3,3,0,0,0,0,27,33,78,1045,176,32,624,69,312,40,220,35,1168,217,3943
1013,0,25,0,107,3,3,0,0,0,3,0,3,0,18,105,133,0,4,4,0,0,0,0,0,0,50,39,92,243,136,16,258,26,142,31,276,27,2016,177,3338
1014,0,8,0,163,0,0,4,0,0,0,0,0,0,10,74,84,0,0,3,0,0,0,0,0,3,18,17,46,522,126,28,374,50,220,18,158,26,937,101,2559
1015,0,13,0,83,0,0,0,4,0,0,0,0,0,6,61,78,0,0,0,0,0,0,0,0,0,25,5,35,288,81,12,262,17,159,11,157,26,959,84,2063
1016,0,13,0,102,0,0,3,0,0,6,0,0,0,8,62,80,7,0,0,0,0,0,0,0,0,22,21,52,519,96,17,311,35,162,19,119,22,583,111,1997
1017,0,7,0,33,0,0,0,0,0,0,0,0,3,3,43,53,0,0,0,0,0,4,0,0,0,18,13,36,164,95,9,167,24,102,6,120,41,710,75,1503
1018,0,9,0,108,0,0,0,3,6,0,0,0,3,10,64,90,8,0,3,3,0,0,0,0,0,16,10,44,498,158,16,405,34,237,37,208,39,1030,100,2749
1019,0,7,0,80,0,0,0,0,0,3,0,0,0,7,45,58,0,0,0,0,0,0,0,0,0,19,12,30,183,41,5,150,22,103,16,100,19,612,76,1322
1020,0,3,0,92,0,0,0,0,0,0,0,4,0,7,47,63,4,0,0,0,0,0,0,4,0,16,13,36,256,77,14,212,34,147,17,131,30,708,73,1693
1021,4,21,0,161,4,0,3,3,0,0,0,0,0,6,94,118,0,0,0,4,0,0,0,0,0,32,19,59,410,177,21,348,67,222,39,235,53,1643,137,3355
1022,0,8,0,159,0,0,0,0,0,0,0,3,0,3,46,57,7,0,0,0,0,0,0,0,0,15,8,26,304,57,12,228,32,125,16,81,10,426,57,1346
1023,4,4,0,111,0,0,0,0,4,0,0,0,0,3,51,66,0,0,3,0,0,0,0,0,0,10,8,17,253,27,6,170,25,134,6,62,18,392,63,1165
1024,10,52,0,268,3,0,0,4,0,3,0,6,0,15,129,153,4,0,0,5,0,0,0,4,0,40,27,82,335,194,33,398,48,236,56,378,68,2522,176,4457
1025,43,284,0,4199,28,7,7,24,20,35,16,33,14,156,1651,1983,22,6,17,19,4,17,4,13,8,348,264,728,10292,2424,344,7262,1046,4326,582,3778,715,20841,2144,53742
1026,0,8,0,171,0,0,0,0,0,0,0,3,0,12,128,147,0,5,0,4,0,3,0,0,0,46,22,80,578,164,19,545,72,303,43,278,58,1807,179,4045
1027,6,25,0,364,5,0,5,3,4,4,0,0,0,9,137,164,3,0,0,4,0,0,0,4,0,30,22,62,993,167,15,595,68,373,27,287,45,1366,186,4120
1028,0,50,0,380,4,4,4,8,0,4,0,6,3,18,170,217,4,8,0,0,0,0,0,0,0,41,29,91,913,329,37,690,62,398,54,499,75,3267,238,6566
1029,0,9,0,178,4,0,0,4,0,0,0,0,0,8,82,97,0,0,0,0,0,0,0,0,0,10,10,14,358,50,12,229,28,184,14,97,33,524,99,1627
1030,4,19,0,132,0,0,0,0,0,0,0,0,0,17,90,111,0,0,0,0,0,0,0,0,0,34,21,58,287,127,20,253,40,182,32,222,41,1680,125,3016
