UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL122097,8,42,30,8,12,89,0,89
UCL122098,17,104,46,10,3,181,15,190
UCL122099,5,43,31,19,3,105,0,105
UCL122100,0,66,80,31,12,195,3,196
UCL122101,0,43,60,23,12,137,4,140
UCL122102,7,52,41,11,8,123,3,128
UCL122103,3,43,23,16,7,83,3,87
UCL122104,0,4,45,29,42,127,0,128
UCL122105,3,33,47,15,11,108,0,108
UCL122106,3,35,38,8,5,88,0,89
UCL122107,0,43,60,21,10,133,3,141
UCL122108,7,46,37,0,4,96,0,96
UCL122109,0,0,0,0,0,0,0,0
UCL122110,0,35,66,24,12,138,5,139
UCL122111,0,12,44,31,26,110,0,110
UCL122112,0,41,56,16,18,126,0,129
UCL122113,0,9,45,13,6,77,3,77
UCL122114,5,64,44,13,5,126,4,132
UCL122115,0,22,51,16,11,102,0,104
UCL122116,0,26,50,12,12,105,0,105
UCL122117,4,22,58,27,27,138,0,138
UCL122118,0,30,37,24,8,107,3,105
UCL122119,0,50,64,12,14,139,0,145
UCL122120,0,39,76,21,13,161,0,160
UCL122121,0,26,52,14,11,98,0,100
UCL122122,3,37,88,21,13,157,0,159
UCL122123,4,32,33,10,9,89,0,87
UCL122124,3,14,46,13,13,86,0,86
UCL122125,3,38,28,8,5,80,3,86
UCL122126,0,12,70,29,26,132,0,133
UCL122127,3,43,39,17,8,118,0,123
UCL122128,0,23,30,13,8,78,4,83
UCL122129,0,27,47,24,9,113,0,111
UCL122130,4,21,23,11,6,63,4,70
UCL122131,10,38,20,6,5,82,10,91
UCL122132,15,66,46,20,11,157,6,167
UCL122133,15,70,30,4,3,124,9,127
UCL122134,0,32,60,31,12,136,0,136
UCL122135,6,28,31,16,3,73,9,78
UCL122136,24,10,3,5,0,42,0,42
UCL122137,3,57,39,10,7,116,0,116
UCL122138,11,72,49,11,7,148,5,156
UCL122139,0,33,44,16,10,111,0,111
UCL122140,10,32,19,9,8,74,0,71
UCL122141,4,29,60,23,11,134,4,141
UCL122142,0,40,21,15,4,79,4,85
UCL122143,6,25,29,10,3,73,0,73
UCL122144,15,64,64,20,4,171,0,171
UCL122145,12,44,42,13,8,106,3,109
UCL122146,6,44,35,8,12,104,5,107
UCL122147,5,54,17,8,3,94,6,95
UCL122148,0,32,39,16,5,90,4,91
UCL122149,12,41,37,27,10,130,6,129
UCL122150,0,49,74,31,11,168,0,171
UCL122151,5,59,49,11,0,124,6,127
UCL122152,3,57,52,13,10,140,0,136
UCL122153,0,37,54,29,17,137,0,141
UCL122154,5,37,80,30,13,157,3,160
UCL122155,8,58,77,32,21,187,10,198
UCL122156,3,55,61,30,13,162,4,169
UCL122157,0,13,34,30,42,115,0,122
UCL122158,4,42,28,10,6,89,0,89
UCL131001,2659,38872,74032,39496,34293,189350,3313,192660
UCL179997,0,0,0,0,0,0,0,0
UCL199994,0,0,0,0,0,0,0,0
UCL201001,147514,625206,604893,176786,92814,1647210,21499,1668713
