UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL121097,0,0,8,101,175,113,60,83,22,552
UCL121098,8,0,23,146,249,127,79,115,14,727
UCL121099,16,5,27,81,143,67,58,151,33,530
UCL121100,5,4,16,171,279,132,78,185,27,874
UCL121101,14,3,17,165,229,109,148,199,64,912
UCL121102,7,0,21,154,250,135,106,129,51,827
UCL121103,18,7,35,172,193,84,94,193,77,803
UCL121104,20,3,26,110,147,85,81,132,50,609
UCL121105,10,0,16,80,127,97,63,161,45,573
UCL121106,6,0,5,144,254,146,87,211,44,888
UCL121107,27,9,49,105,197,118,82,198,51,750
UCL121108,3,6,19,113,204,104,61,124,54,662
UCL121109,3,5,7,67,120,72,57,68,26,409
UCL121110,15,4,30,155,201,104,84,195,50,792
UCL121111,8,15,41,104,139,63,50,165,96,619
UCL121112,3,0,11,125,157,95,63,108,41,590
UCL121113,8,0,13,87,101,53,44,102,38,430
UCL121114,0,0,3,133,206,112,69,102,76,697
UCL121115,8,0,13,90,184,117,64,96,38,587
UCL121116,5,0,13,176,237,109,73,131,18,746
UCL121117,3,0,10,86,163,93,51,104,46,541
UCL121118,4,0,7,86,124,63,49,74,14,411
UCL121119,9,0,14,111,181,117,94,191,37,727
UCL121120,6,3,7,49,52,24,10,157,112,408
UCL121121,0,0,0,94,125,52,57,67,27,425
UCL121122,3,0,7,80,142,62,57,106,42,481
UCL121123,4,3,9,93,113,68,57,141,80,550
UCL121124,4,0,11,70,108,61,64,132,19,461
UCL121125,10,8,29,96,203,123,130,186,73,807
UCL121126,4,0,10,80,134,69,53,110,21,460
UCL121127,5,0,3,113,154,74,46,132,35,555
UCL121128,7,0,14,162,192,105,97,190,30,781
UCL122001,3,0,3,40,52,26,15,56,11,200
UCL122002,0,3,7,39,50,17,25,49,49,224
UCL122003,0,0,5,67,110,46,32,67,14,330
UCL122004,0,0,8,32,62,29,21,25,0,169
UCL122005,3,0,6,33,71,37,29,98,23,292
UCL122006,3,0,14,36,57,23,35,49,23,232
UCL122007,18,0,24,43,80,42,48,167,28,396
UCL122008,0,0,0,44,49,20,31,41,40,221
UCL122009,0,0,0,39,63,29,22,69,14,247
UCL122010,0,0,3,51,72,39,37,65,10,284
UCL122011,0,0,0,69,95,46,26,53,27,313
UCL122012,8,0,14,41,47,30,37,56,23,234
UCL122013,0,0,0,22,34,16,24,66,19,176
UCL122014,3,0,12,46,78,39,32,54,24,265
UCL122015,0,0,6,40,78,39,19,20,27,218
UCL122016,0,0,4,46,66,28,9,34,29,210
UCL122017,3,0,8,46,60,32,35,45,26,246
UCL122018,0,0,6,52,78,29,35,95,50,344
UCL122019,0,0,0,33,65,19,32,56,25,239
UCL122020,7,0,10,24,58,34,37,80,13,251
UCL122021,0,0,0,27,49,22,25,39,7,157
UCL122022,4,0,8,74,121,69,47,78,15,401
UCL122023,6,0,8,73,110,64,42,58,8,354
UCL122024,0,0,0,50,57,32,23,67,15,238
UCL122025,4,0,4,47,61,31,18,20,18,200
UCL122026,0,0,0,35,42,33,21,44,5,182
UCL122027,5,5,16,32,52,31,28,63,14,215
UCL122028,8,0,10,48,55,36,44,107,36,318
UCL122029,4,0,4,49,74,41,22,26,22,233
UCL122030,0,0,0,58,91,46,40,48,37,326
UCL122031,0,0,0,89,99,37,29,49,10,315
UCL122032,0,3,7,41,123,48,45,90,24,372
UCL122033,0,0,3,29,55,23,22,39,16,176
UCL122034,0,0,3,45,60,33,20,33,0,190
UCL122035,9,0,7,47,113,67,42,64,18,351
UCL122036,4,0,4,39,46,12,25,127,94,333
UCL122037,0,0,3,42,79,30,20,17,10,193
UCL122038,5,5,9,38,71,32,36,50,18,245
UCL122039,4,0,10,50,76,44,39,101,34,347
UCL122040,3,0,3,26,43,34,25,45,13,188
UCL122041,0,4,4,65,92,48,35,41,37,314
UCL122042,0,0,0,52,60,26,13,64,14,231
UCL122043,0,0,7,50,64,42,34,57,14,259
UCL122044,0,0,0,16,21,10,11,40,10,102
UCL122045,4,0,7,41,51,29,29,56,20,216
UCL122046,9,3,22,65,126,83,57,83,26,437
UCL122047,0,0,0,49,92,47,42,33,10,269
UCL122048,3,0,10,55,54,35,25,123,99,384
UCL122049,9,0,7,37,65,45,29,102,30,296
UCL122050,9,0,14,34,46,17,20,45,11,176
UCL122051,0,3,0,26,41,26,33,67,41,224
UCL122052,0,0,0,32,69,51,21,28,25,221
UCL122053,13,0,24,35,52,48,27,91,27,268
UCL122054,3,4,6,66,65,35,25,97,107,399
UCL122055,0,0,5,41,104,85,54,43,13,340
UCL122056,0,3,10,39,68,41,30,60,9,251
UCL122057,0,0,4,33,65,39,25,44,9,218
UCL122058,0,0,5,57,109,56,70,76,33,404
UCL122059,4,0,11,47,119,42,31,80,33,354
UCL122060,0,0,9,41,69,42,37,95,45,330
UCL122061,0,0,0,6,12,22,17,51,36,142
UCL122062,0,0,5,54,65,34,18,52,36,262
UCL122063,0,4,13,49,66,41,19,59,22,252
UCL122064,5,0,12,37,46,24,21,110,36,270
UCL122065,4,0,7,59,91,54,32,72,27,333
UCL122066,6,0,5,59,81,47,39,65,9,306
UCL122067,4,0,6,59,115,51,44,90,18,381
UCL122068,0,0,3,10,31,11,14,39,35,142
UCL122069,0,0,6,45,91,47,21,53,9,268
UCL122070,7,0,15,51,101,54,52,75,10,348
UCL122071,0,0,8,48,80,53,28,73,11,291
UCL122072,0,0,6,31,44,35,22,57,16,205
UCL122073,0,3,5,45,71,38,33,48,23,257
UCL122074,0,0,0,38,48,32,26,81,24,244
UCL122075,0,0,6,32,65,28,24,41,13,208
UCL122076,0,0,0,40,59,27,12,23,7,171
UCL122077,10,0,7,53,66,40,23,76,28,294
UCL122078,8,0,15,35,71,45,19,59,20,247
UCL122079,0,0,3,47,73,39,31,34,8,230
UCL122080,0,0,0,61,92,40,36,97,11,344
UCL122081,5,0,5,30,54,27,19,50,28,205
UCL122082,4,0,8,37,53,30,26,61,16,214
UCL122083,0,0,3,48,72,44,35,47,12,253
UCL122084,0,0,5,32,43,15,17,45,18,170
UCL122085,3,0,3,34,47,25,30,61,27,228
UCL122086,4,0,10,42,46,24,21,135,64,327
UCL122087,3,0,4,25,35,27,18,40,12,162
UCL122088,0,0,3,27,48,37,26,46,34,214
UCL122089,0,0,9,58,113,61,46,54,38,368
UCL122090,5,0,4,84,123,65,55,40,30,395
UCL122091,4,3,13,34,54,29,16,77,61,270
UCL122092,0,0,3,59,85,51,36,53,14,304
UCL122093,0,7,8,38,57,29,27,95,47,293
UCL122094,7,0,11,54,78,37,37,69,25,300
UCL122095,0,4,3,39,40,30,23,41,13,180
UCL122096,0,0,0,49,56,33,19,36,20,220
UCL122097,0,0,4,41,49,26,10,42,16,172
UCL122098,3,12,14,54,93,50,36,76,112,416
UCL122099,0,0,4,35,53,28,28,41,17,208
UCL122100,4,4,8,69,122,58,53,96,44,441
UCL122101,0,0,0,57,92,54,37,51,18,311
UCL122102,0,3,6,35,50,32,33,63,54,267
