UCL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL115021,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,39,5,11,0,5,0,3,6,92
UCL115022,0,4,0,59,8,0,0,9,0,0,0,0,0,4,11,31,0,0,0,0,0,0,0,0,0,0,0,0,78,10,0,103,13,22,5,18,0,32,10,301
UCL115023,0,0,0,13,6,0,0,0,3,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,24,6,5,31,8,16,0,0,6,11,6,106
UCL115024,0,0,0,20,7,0,0,0,0,0,0,0,0,0,15,23,0,0,0,0,0,0,0,0,0,3,0,0,52,0,0,23,11,16,0,6,0,10,15,130
UCL115025,0,0,0,45,0,0,0,0,3,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,4,3,51,16,5,50,26,30,10,12,4,17,13,221
UCL115026,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,33,11,3,26,4,16,4,4,3,6,4,112
UCL115027,0,0,0,55,3,0,0,5,0,0,0,0,0,0,22,33,0,0,0,0,0,0,0,0,0,0,0,3,82,13,3,118,25,52,9,8,9,17,23,346
UCL115028,0,0,0,50,5,0,0,0,0,0,0,0,0,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,50,16,0,99,8,16,3,10,5,14,13,235
UCL115029,0,0,0,19,4,0,0,4,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,15,15,4,42,0,11,0,18,3,14,9,128
UCL115030,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,3,12,4,0,12,0,8,4,8,0,19,5,73
UCL115031,0,0,0,32,0,0,0,4,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,29,15,8,69,13,28,4,10,3,13,3,195
UCL115032,0,0,0,53,3,0,3,4,4,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,4,4,36,18,13,59,14,25,9,25,3,28,9,232
UCL115033,0,5,0,216,8,6,0,4,5,4,0,0,0,0,18,40,0,0,5,0,0,0,0,0,0,0,0,3,247,21,8,186,33,56,5,18,4,13,13,609
UCL115034,0,0,0,26,0,0,0,4,0,3,0,0,0,0,11,22,0,0,0,0,0,0,0,0,0,0,3,4,52,12,5,54,18,32,14,12,7,18,10,232
UCL115035,0,0,0,67,6,0,0,9,0,8,0,0,0,0,20,41,0,0,0,0,0,0,0,0,0,0,6,6,164,14,0,131,28,59,7,13,4,25,21,472
