UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL114030,3,3,14,10,17,14,8,0,0,62,4,0,5,15,17,20,10,0,0,66,103,111,293,320,372,468,123,12,0,1797
UCL114031,3,8,27,32,21,19,6,0,0,118,8,9,22,21,18,14,5,0,0,100,170,253,515,550,652,480,92,5,0,2712
UCL114032,11,9,24,17,12,13,0,0,0,86,5,12,22,27,18,18,3,0,0,106,149,221,579,468,462,316,74,10,0,2271
UCL114033,9,9,18,18,18,8,6,0,0,86,3,14,27,23,25,16,8,0,0,119,193,265,548,553,534,540,146,16,4,2801
UCL114034,7,16,45,42,36,29,5,0,0,179,10,17,20,21,21,22,4,4,6,115,224,268,645,586,682,516,129,12,3,3068
UCL114035,5,9,28,19,23,11,12,0,0,105,3,10,19,27,20,11,13,0,0,99,110,178,576,489,457,410,137,12,0,2368
UCL114036,4,6,14,16,17,15,4,0,0,81,10,10,21,18,9,16,5,0,0,90,132,153,365,457,462,480,145,12,0,2217
UCL114037,0,11,28,24,15,13,7,6,0,105,3,10,18,20,13,10,5,0,0,83,178,221,566,612,550,429,119,16,4,2706
UCL114038,12,16,38,22,22,14,7,0,0,136,9,15,36,28,21,27,7,3,0,143,261,291,655,612,534,507,136,16,11,3018
UCL115001,4,11,14,3,4,9,0,0,0,44,0,4,3,0,8,0,0,0,0,27,61,80,172,166,168,162,25,7,0,843
UCL115002,4,3,15,13,29,9,6,0,0,79,8,5,9,13,15,12,8,0,0,69,174,166,307,344,500,417,80,3,0,1995
UCL115003,5,6,12,12,10,3,0,0,0,52,0,7,15,18,4,6,0,0,0,62,87,112,325,417,264,164,28,0,0,1405
UCL115004,0,0,6,8,4,3,0,0,0,16,4,5,3,0,3,4,0,0,0,31,47,52,137,152,159,149,55,3,0,753
UCL115005,0,0,0,6,4,4,0,0,0,16,0,3,5,4,0,0,0,0,0,15,19,38,73,57,94,109,41,0,0,437
UCL115006,0,4,0,12,14,7,4,0,0,33,0,4,10,26,16,5,4,0,0,63,64,54,172,294,271,158,48,6,0,1055
UCL115007,0,3,15,12,15,9,0,0,0,57,8,5,11,12,20,6,3,3,0,63,113,150,278,309,363,263,58,8,0,1538
UCL115008,0,0,4,0,6,4,0,0,0,15,3,0,5,0,4,13,3,0,0,30,18,22,62,49,83,116,51,3,0,404
UCL115009,0,0,5,10,12,0,3,0,0,32,0,0,4,6,7,6,0,0,0,22,59,47,149,152,176,146,55,7,0,795
UCL115010,0,0,0,0,5,4,0,0,0,9,0,0,3,3,4,7,0,0,0,17,13,20,44,38,54,94,27,3,0,288
UCL115011,0,3,3,6,9,7,0,0,0,29,0,0,3,4,7,4,3,0,0,20,48,41,125,117,145,135,32,0,0,642
UCL115012,0,0,0,0,0,4,0,0,0,4,0,0,3,4,5,7,0,0,0,22,23,25,65,59,92,88,26,4,0,379
UCL115013,7,6,18,13,24,11,3,4,0,83,3,3,18,10,8,13,5,0,0,61,103,166,383,349,337,312,79,22,4,1740
