SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED55504,167,650,243,398,39,1682,177,148,999,653,833,97,2919,10,9,48,36,100,9,214,23,6,111,149,604,27,920,32,10,113,116,373,112,759,895,565,4031,3077,7638,684,16882
SED55605,195,679,255,538,44,1862,121,121,668,512,851,70,2349,6,11,31,45,101,8,201,9,5,40,73,472,22,631,16,9,70,112,399,78,680,541,487,2719,2796,8625,560,15723
SED55706,173,620,169,342,28,1474,159,112,546,351,464,53,1683,9,9,58,35,66,3,184,17,5,50,49,330,24,476,33,11,94,57,181,69,444,680,508,3220,2102,5814,571,12888
SED55802,161,596,221,435,42,1600,210,130,1117,626,895,108,3082,14,3,74,40,111,8,250,32,6,97,148,598,20,902,45,8,161,121,358,105,795,1142,541,4563,3178,7739,684,17849
SED55905,250,790,205,283,44,1846,254,165,953,393,488,66,2329,10,4,79,38,71,8,215,28,11,89,75,381,11,601,41,13,143,77,244,99,617,1238,691,4415,2182,4979,549,14056
SED59494,3,21,14,8,0,60,6,14,55,21,37,7,130,0,0,13,0,4,0,17,0,0,5,3,25,0,40,4,0,9,4,23,10,52,82,42,305,175,483,45,1126
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,3,31,3,3,35,29,110,12,199
SED60105,73,532,110,170,14,1102,355,141,944,296,432,48,2217,13,8,40,23,39,5,129,12,9,47,37,191,8,313,10,0,30,15,52,29,143,1009,372,2834,1089,2807,232,8342
SED60106,8,85,26,40,5,184,10,10,71,52,73,5,224,5,0,0,5,20,0,28,3,0,8,6,57,4,75,3,0,3,0,39,8,58,82,43,367,261,1028,89,1872
SED60113,118,782,195,270,34,1741,374,209,1001,465,715,79,2840,18,6,44,29,72,3,173,34,9,61,74,352,10,534,17,0,54,27,130,35,261,1239,523,3420,1877,5069,369,12492
SED60115,53,422,115,269,28,1096,254,101,704,363,840,63,2332,13,0,29,25,42,6,122,25,7,60,36,325,11,464,24,3,55,24,150,77,338,1078,282,2443,1270,4895,473,10439
SED60207,81,530,154,278,22,1174,171,90,578,397,910,61,2220,5,4,28,17,49,3,102,12,0,40,49,357,10,472,8,0,19,25,133,56,234,622,298,2076,1489,5754,408,10639
SED60208,91,477,123,286,24,1103,138,109,588,354,742,59,1986,3,0,27,9,24,0,68,7,9,32,42,325,16,429,0,3,20,13,137,39,220,435,302,1818,1234,5035,363,9189
SED60209,67,526,124,316,27,1185,189,123,510,336,670,72,1903,3,0,19,12,30,7,74,20,8,27,55,351,5,471,8,4,26,20,116,62,234,607,328,1966,1413,5306,490,10112
SED60301,19,113,51,148,6,418,101,44,239,159,443,38,1027,8,0,22,12,34,0,78,21,4,21,23,163,5,236,15,0,21,12,49,22,120,478,124,907,657,2515,157,4833
SED60302,94,457,126,243,19,1257,498,163,843,424,736,71,2742,36,12,109,35,75,0,272,65,10,109,62,284,13,543,73,8,73,26,104,67,341,2407,515,3748,1641,4061,405,12779
SED60303,219,933,137,154,25,2338,792,261,1692,293,284,71,3395,89,33,212,55,57,8,454,78,20,121,53,161,8,444,66,4,90,21,54,42,271,3850,1110,6720,1612,2352,346,15991
SED60304,5,9,0,0,0,18,8,0,6,8,3,0,27,0,0,5,0,4,0,10,0,0,0,0,0,0,8,0,0,4,0,4,0,7,23,7,38,30,37,4,144
SED60310,139,535,77,87,17,1396,402,126,697,150,117,31,1522,37,14,85,18,28,4,183,42,3,82,25,74,9,237,43,0,67,24,29,27,185,2258,545,3421,825,1093,205,8339
SED60404,151,623,158,269,22,1576,209,139,672,333,496,49,1902,41,22,88,30,66,3,249,26,19,64,47,296,11,465,25,5,59,41,108,47,281,1259,624,3239,1652,4611,410,11790
SED60410,72,340,62,95,10,802,175,93,403,143,196,28,1043,10,0,29,16,39,0,101,28,11,40,38,84,3,210,15,4,31,9,40,22,122,1041,320,1974,766,1564,158,5823
SED60411,132,671,129,201,21,1524,373,206,785,308,452,54,2181,32,12,80,34,47,11,206,47,5,86,59,229,7,444,24,5,47,20,58,31,182,1631,691,3701,1560,3321,260,11168
SED60414,92,492,114,233,14,1171,184,128,576,278,524,44,1731,15,3,48,29,66,4,159,23,6,38,51,262,8,386,8,5,22,20,82,27,162,884,429,2334,1339,3847,236,9066
SED60501,27,85,55,130,10,367,46,34,166,186,520,46,998,3,5,13,12,38,4,77,8,3,15,23,164,0,212,4,0,8,9,99,42,165,235,99,654,621,2848,247,4706
SED60505,28,182,33,85,6,382,57,45,244,127,220,22,710,3,0,12,10,30,5,52,0,0,9,22,137,4,178,4,0,7,3,43,11,69,180,110,745,498,1639,103,3275
SED60506,55,294,66,182,19,714,100,87,416,273,561,54,1493,5,6,25,25,51,7,115,0,3,24,40,255,0,329,0,0,31,34,119,55,242,410,255,1658,1197,4132,388,8043
SED60508,7,51,18,37,0,132,12,15,68,58,72,3,226,0,0,3,3,13,3,29,4,0,3,6,54,0,64,0,0,0,3,17,9,32,89,47,282,235,761,60,1482
SED60512,51,335,98,275,16,885,84,76,363,323,670,61,1568,30,11,61,30,112,9,259,10,4,39,40,333,7,438,15,4,32,28,131,63,269,555,266,1766,1387,5257,424,9653
SED60514,23,141,58,87,8,386,54,32,179,126,242,25,656,3,0,15,11,20,0,56,11,0,21,29,100,4,165,4,0,8,14,39,9,76,249,109,755,592,1659,122,3487
SED69494,0,3,0,4,0,9,6,3,10,6,5,4,30,0,0,0,0,0,0,7,0,0,0,0,4,0,7,0,0,3,0,4,0,9,17,5,42,21,87,15,181
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,9
SED70001,22,81,15,70,13,232,16,10,48,22,83,10,183,5,0,8,4,43,15,71,0,0,9,9,16,9,35,0,0,0,4,15,7,25,77,57,236,126,518,97,1112
