SOSR_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR621,10,5,15,18,33,89,185,214,131,703,0,4,6,8,8,5,14,11,3,56,54,56,154,130,175,231,258,202,71,1344,439,916,2283,2384,2800,3538,3294,1731,478,17860
SOSR622,3,0,0,3,11,47,100,86,46,290,0,0,0,0,0,0,4,3,0,14,24,28,47,56,77,122,154,100,65,680,197,351,810,897,1193,1662,1622,744,232,7701
SOSR631,31,20,52,71,166,408,740,585,290,2354,9,3,26,21,18,29,23,31,22,178,336,288,755,828,989,1261,1165,616,185,6416,2691,4553,10260,12366,15547,18862,14815,5747,1169,86011
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
SOSR699,6,4,5,9,3,8,8,7,0,48,0,0,0,0,3,0,0,0,0,8,19,16,49,50,48,60,72,8,3,325,74,119,228,197,203,199,163,31,3,1227
SOSR703,53,34,158,251,370,467,659,491,175,2665,8,29,85,99,121,143,155,97,42,783,504,799,2278,1731,1418,1080,738,360,150,9063,2948,8203,23975,19603,15395,12030,7774,3085,750,93743
SOSR712,52,44,98,103,122,138,173,85,30,846,3,7,31,36,48,51,54,21,22,272,100,88,379,302,251,230,156,66,29,1604,663,1235,4758,3916,3128,2839,1576,567,168,18855
SOSR714,0,3,8,17,23,45,46,29,11,187,0,0,8,7,11,7,18,4,0,59,58,59,188,151,125,101,62,23,10,780,178,420,1209,854,675,612,347,129,30,4463
SOSR715,98,105,146,160,154,125,92,40,3,912,24,19,22,34,31,25,35,17,0,210,126,121,357,298,228,177,84,21,9,1426,1002,1382,3173,2723,2090,1467,606,147,29,12630
SOSR721,129,120,198,153,179,147,86,31,8,1049,21,11,31,37,44,35,48,20,13,265,57,70,190,151,140,133,64,15,0,810,689,1068,2249,1773,1510,1137,504,120,26,9071
SOSR722,119,116,274,231,202,168,132,34,5,1289,6,24,28,25,46,70,79,47,9,335,76,91,209,153,137,129,98,30,4,935,686,954,1952,1557,1381,1109,648,187,28,8507
SOSR731,88,70,209,260,276,278,291,124,22,1617,12,24,45,61,69,86,74,44,14,425,283,400,798,697,794,675,428,162,17,4255,1392,2279,4856,4767,5154,4420,2701,855,123,26559
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,5,3,0,0,0,23,4,6,23,22,19,17,0,0,0,94
SOSR799,4,8,20,28,27,27,14,3,0,132,0,3,0,0,4,3,4,0,0,28,37,79,223,220,278,226,100,14,0,1181,73,183,661,573,591,575,318,49,7,3031
SOSR802,69,73,295,393,478,844,1548,1689,990,6379,18,50,274,231,261,289,270,286,155,1839,1130,1865,3695,2580,1929,1566,1659,1333,809,16569,11691,34032,77415,69099,55927,45160,35510,19290,7169,355296
SOSR822,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,5,0,0,25,20,25,49,96,100,73,58,30,6,454
SOSR831,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,8,14,15,3,15,12,7,0,0,84,31,75,115,61,75,72,52,9,5,501
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,17,35,25,22,18,5,0,130,34,81,108,104,77,78,34,10,4,530
SOSR915,0,0,0,0,8,12,37,12,3,70,0,0,0,0,6,0,12,10,0,21,3,9,57,41,44,32,30,0,0,226,21,45,202,206,207,178,150,26,4,1036
SOSR921,0,0,0,0,3,3,5,6,0,20,0,0,0,0,0,3,0,0,0,4,7,11,18,28,27,45,20,26,3,180,37,67,126,209,228,344,258,129,38,1427
SOSR922,0,0,6,0,0,4,3,4,0,22,0,0,0,0,0,23,30,17,11,74,6,11,19,17,15,28,15,11,0,119,17,49,71,99,73,121,62,40,11,538
SOSR931,0,0,0,0,6,7,18,4,0,37,0,0,0,0,0,0,8,4,0,19,3,25,123,65,48,26,20,16,0,331,11,52,173,125,158,119,119,66,15,838
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
