SOSR_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOSR522,33,9,88,41,22,17,16,25,0,264,0,0,0,0,0,0,0,0,0,8,13,4,9,8,8,0,12,12,3,64,20,9,27,32,13,13,32,34,36,219,652,870,851,600,412,168,357,394,91,4387
SOSR531,373,51,640,358,315,177,251,305,28,2500,4,4,6,10,8,9,5,18,3,59,130,92,114,86,43,24,102,55,23,675,407,113,331,156,138,91,240,289,244,1998,10616,9541,9822,4533,4755,1771,3597,4040,840,49508
SOSR579,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
SOSR599,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
SOSR603,438,122,1325,650,448,281,125,356,53,3793,7,7,12,20,6,14,3,13,7,86,176,265,113,163,150,59,68,76,41,1101,143,158,234,231,165,123,92,195,234,1575,9094,22587,9164,10032,7899,3630,2002,4068,1089,69574
SOSR611,187,40,543,297,161,171,92,192,12,1703,0,0,0,6,3,8,0,15,0,33,54,57,58,55,32,25,31,36,13,361,46,50,108,77,81,47,64,100,98,670,3016,7475,3685,3979,2689,1380,1128,1769,355,25473
SOSR612,108,29,303,185,81,95,48,132,6,992,0,0,0,3,3,0,0,3,0,6,11,19,8,28,16,13,19,19,11,146,35,15,70,58,29,34,51,87,68,438,1204,2665,2095,2134,1235,719,642,1082,191,11957
SOSR613,27,4,86,39,14,21,5,29,0,228,0,0,0,0,0,0,0,0,0,3,3,12,6,5,5,0,10,4,3,49,12,5,16,24,3,4,12,19,11,100,377,775,599,554,354,149,170,262,48,3284
SOSR614,39,8,98,59,37,32,14,40,7,332,0,0,0,4,0,0,0,0,0,6,10,3,10,7,6,3,7,12,7,67,14,14,46,21,21,14,18,24,28,202,505,852,941,751,451,217,203,289,96,4299
SOSR615,142,37,423,231,127,115,67,181,13,1331,0,4,0,4,4,0,0,0,0,14,24,43,29,33,34,12,28,13,12,222,58,41,76,75,49,41,81,109,90,623,2109,3719,3151,2725,1887,892,933,1378,305,17093
SOSR621,49,9,137,73,58,50,36,56,5,468,0,0,0,0,0,0,0,0,0,4,17,11,12,14,6,3,8,7,0,81,36,14,19,26,16,17,22,51,29,234,872,1527,1103,791,659,280,303,536,110,6185
SOSR622,22,3,44,21,15,21,4,28,0,154,0,0,0,0,0,0,0,0,0,3,4,3,5,11,3,0,3,3,0,39,13,12,29,4,9,10,7,28,17,114,328,558,457,337,251,119,145,191,36,2420
SOSR631,260,51,593,278,199,154,92,227,26,1882,5,4,0,5,4,3,0,8,0,26,110,80,55,61,39,22,44,52,18,479,220,72,206,128,93,90,121,192,111,1238,6255,7665,6071,3987,3224,1355,1639,2591,571,33352
